서비스,SageMaker($),EC2-인스턴스($),세금($),EC2-기타($),S3($),Relational Database Service($),EC2-ELB($),CloudWatch($),Route 53($),EC2 Container Registry (ECR)($),API Gateway($),Elemental MediaStore($),Key Management Service($),Lambda($),Secrets Manager($),Service Catalog($),Elastic Container Service($),Elastic File System($),SNS($),SQS($),총 비용 ($)
서비스 합계,75.1978632721,29.0595381604,11.94,10.8727648412,1.0465892567,1.0398067361,0.8797997161,0.7395161311,0.5009452,0.123249997,0.0000155886,0.0000001396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.4000890389
2021-05-01,75.1978632721,29.0595381604,11.94,10.8727648412,1.0465892567,1.0398067361,0.8797997161,0.7395161311,0.5009452,0.123249997,0.0000155886,0.0000001396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.4000890389
